prod_id,supplier_name,ean_upc,path(es_pe),timestamp,"Your product ID",error_message
"Z890 AORUS MASTER",GIGABYTE,4719331864903|0889523045107|889523045107,https://data.icecat.biz/export/freexml/ES_PE/122502048.xml,"2026-04-23 05:43:21",,
"X870E AORUS MASTER",GIGABYTE,4719331864354|0889523044803|889523044803,https://data.icecat.biz/export/freexml/ES_PE/122205012.xml,"2025-12-04 13:42:31",,
"Z890 AORUS PRO ICE",GIGABYTE,4719331864712|0889523045084|889523045084,https://data.icecat.biz/export/freexml/ES_PE/122502905.xml,"2026-08-25 20:20:19",,
"Z890 A ELITE WIFI7",GIGABYTE,4719331864507|0889523045121|889523045121,https://data.icecat.biz/export/freexml/ES_PE/122488640.xml,"2025-12-27 20:26:21",,
"X870E AORUS PRO",GIGABYTE,4719331864866|0889523045251|889523045251,https://data.icecat.biz/export/freexml/ES_PE/122205072.xml,"2026-08-31 20:10:28",,
"B860 EAGLE WIFI6E",GIGABYTE,4719331866822,https://data.icecat.biz/export/freexml/ES_PE/124830481.xml,"2026-08-25 20:20:05",,
