Brand,MPN,EAN,Model,Description,Category
GIGABYTE,Z890 AORUS MASTER,,Z890 AORUS MASTER,GIGABYTE Z890 AORUS MASTER LGA1851 ATX,Motherboard
GIGABYTE,X870E AORUS MASTER,,X870E AORUS MASTER,GIGABYTE X870E AORUS MASTER AM5 ATX,Motherboard
GIGABYTE,Z890 AORUS PRO ICE,,Z890 AORUS PRO ICE,GIGABYTE Z890 AORUS PRO ICE LGA1851 ATX,Motherboard
GIGABYTE,Z890 AORUS ELITE WIFI7,,Z890 AORUS ELITE WIFI7,GIGABYTE Z890 AORUS ELITE WIFI7 LGA1851 ATX,Motherboard
GIGABYTE,X870E AORUS PRO,,X870E AORUS PRO,GIGABYTE X870E AORUS PRO AM5 ATX,Motherboard
GIGABYTE,B860 EAGLE WIFI6E,,B860 EAGLE WIFI6E,GIGABYTE B860 EAGLE WIFI6E LGA1851 ATX,Motherboard
