prod_id,supplier_name,ean,price_excl,price_incl,ice_prod_id,ice_supplier_name,ice_ean,"Your product ID"
"Trident Z5 RGB DDR5-6000 64GB (2x32GB) CL30",G.Skill,,,,"Trident Z5 RGB DDR5-6000 64GB (2x32GB) CL30",G.Skill,,
"Fury Beast DDR5-5600 64GB (2x32GB) CL40",Kingston,,,,"Fury Beast DDR5-5600 64GB (2x32GB) CL40",Kingston,,
"Vengeance LPX DDR4-3200 32GB (2x16GB) CL16",Corsair,,,,"Vengeance LPX DDR4-3200 32GB (2x16GB) CL16",Corsair,,
"Ripjaws V DDR4-3600 32GB (2x16GB) CL18",G.Skill,,,,"Ripjaws V DDR4-3600 32GB (2x16GB) CL18",G.Skill,,
"Fury Beast DDR4-3200 16GB (2x8GB) CL16",Kingston,,,,"Fury Beast DDR4-3200 16GB (2x8GB) CL16",Kingston,,
"BX500 1TB SSD SATA",Crucial,,,,"BX500 1TB SSD SATA",Crucial,,
"KC3000 1TB NVMe Gen4",Kingston,,,,"KC3000 1TB NVMe Gen4",Kingston,,
"990 PRO 2TB NVMe Gen4",Samsung,,,,"990 PRO 2TB NVMe Gen4",Samsung,,
"T705 4TB NVMe Gen5",Crucial,,,,"T705 4TB NVMe Gen5",Crucial,,
"CX550 550W 80+ Bronze",Corsair,,,,"CX550 550W 80+ Bronze",Corsair,,
"MAG A650GL 650W 80+ Gold",MSI,,,,"MAG A650GL 650W 80+ Gold",MSI,,
"RM750e 750W 80+ Gold",Corsair,,,,"RM750e 750W 80+ Gold",Corsair,,
"Focus GX-850 850W 80+ Gold",Seasonic,,,,"Focus GX-850 850W 80+ Gold",Seasonic,,
"Dark Power 13 1000W Titanium","be quiet!",,,,"Dark Power 13 1000W Titanium","be quiet!",,
"HX1200i 1200W 80+ Platinum",Corsair,,,,"HX1200i 1200W 80+ Platinum",Corsair,,
"A3-mATX Mesh","Lian Li",,,,"A3-mATX Mesh","Lian Li",,
"Pop Air / NZXT H5 Flow","Fractal Design",,,,"Pop Air / NZXT H5 Flow","Fractal Design",,
"O11 Vision Panormico","Lian Li",,,,"O11 Vision Panormico","Lian Li",,
"7000D AIRFLOW Full-Tower",Corsair,,,,"7000D AIRFLOW Full-Tower",Corsair,,
"Liquid Freezer III 240",Arctic,,,,"Liquid Freezer III 240",Arctic,,
"Liquid Freezer III 360 ARGB",Arctic,,,,"Liquid Freezer III 360 ARGB",Arctic,,
