Brand,MPN,EAN,Model,Description,Category
GIGABYTE,GV-N5090GAMING OC-32GD,,RTX 5090 GAMING OC 32G,GIGABYTE GeForce RTX 5090 GAMING OC 32G,GPU
GIGABYTE,GV-N5090AORUS M-32GD,,AORUS RTX 5090 MASTER 32G,GIGABYTE AORUS GeForce RTX 5090 MASTER 32G,GPU
GIGABYTE,GV-N5090WF3OC-32GD,,RTX 5090 WINDFORCE OC 32G,GIGABYTE GeForce RTX 5090 WINDFORCE OC 32G,GPU
GIGABYTE,GV-N4060EAGLE OC-8GD,,RTX 4060 EAGLE OC 8G,GIGABYTE GeForce RTX 4060 EAGLE OC 8G,GPU
GIGABYTE,GV-R9060XTGAMING OC-16GD,,RX 9060 XT GAMING OC 16G,GIGABYTE Radeon RX 9060 XT GAMING OC 16G,GPU
GIGABYTE,GV-R9070GAMING OC-16GD,,RX 9070 GAMING OC 16G,GIGABYTE Radeon RX 9070 GAMING OC 16G,GPU
GIGABYTE,GV-R77XTGAMING OC-12GD,,RX 7700 XT GAMING OC 12G,GIGABYTE Radeon RX 7700 XT GAMING OC 12G,GPU
